Preu;Zona;Superficie;Habitacions;Lavabos;Preu metre;Calefaccio;Aire acondicionat;Any construccio;Aparcament;Piscina;Ascensor;Planta;Consum;Venda/lloguer
189000;Les Arenes-La Gr�pia;112;4;2;1688;Si;Si;1992;No;No;Si;_;E;Venda
198500;Cementiri Vell;100;4;2;1985;Si;No;1979;No;No;Si;_;G;Venda
225000;Ca n�Aurell;94;3;1;2394;Si;Si;1961;No;No;Si;_;G;Venda
248000;Sant Pere;82;2;2;3024;Si;Si;2004;No;No;Si;_;G;Venda
180000;Ca n�Anglada;108;3;1;1667;Si;Si;1994;No;No;No;_;G;Venda
179000;X�quer;92;3;2;1946;Si;Si;2003;No;No;Si;_;E;Venda
287000;Centre;220;9;2;1305;No;No;_;No;No;No;_;G;Venda
231400;Escoles;115;3;2;2012;Si;No;2003;Si;No;Si;_;E;Venda
198500;Cementiri Vell;116;4;2;1711;Si;No;1979;No;No;Si;_;E;Venda
120000;Vallparad�s;55;1;1;2182;Si;Si;_;Si;No;Si;_;A;Venda
179000;Cementiri Vell;85;4;1;2106;Si;No;1970;No;No;Si;_;E;Venda
445000;Poblenou-Zona Esportiva;149;4;3;2987;Si;No;2022;Si;No;No;_;G;Venda
275000;Escoles;125;5;2;2200;Si;Si;1972;No;No;Si;_;G;Venda
335000;Les Arenes-La Gr�pia;201;4;2;1667;Si;Si;1994;Si;No;No;_;G;Venda
179000;Pl� del Bonaire;82;3;1;2183;Si;Si;1975;No;No;Si;_;G;Venda
386000;Can Roca;150;4;2;2573;Si;Si;2000;No;No;Si;_;G;Venda
120000;Sant Pere Nord;73;3;1;1644;No;Si;1970;No;No;Si;_;E;Venda
145000;Ca n�Aurell;73;2;1;1986;No;No;1978;No;No;Si;_;F;Venda
236000;Torre-sana;140;3;2;1686;No;No;2009;Si;No;Si;_;G;Venda
155000;Ca n�Aurell;96;3;1;1615;Si;Si;1975;No;No;No;_;D;Venda
175000;Torre-sana;90;3;1;1944;No;No;1975;No;No;Si;_;G;Venda
157300;Poblenou-Zona Esportiva;78;2;1;2017;Si;No;2005;No;No;Si;_;G;Venda
260000;Sant Pere;110;2;3;2364;Si;Si;2003;Si;No;Si;_;G;Venda
225000;Ca n�Aurell;86;3;2;2616;Si;Si;2022;No;No;Si;_;G;Venda
165000;Ca n�Aurell;49;2;1;3367;Si;Si;2022;No;No;Si;_;G;Venda
96000;Sant Pere Nord;61;3;1;1574;No;Si;1970;No;No;No;_;G;Venda
360000;Sant Pere;173;6;2;2081;Si;No;1973;No;No;Si;_;E;Venda
156900;Torre-sana;100;3;1;1569;Si;Si;_;No;No;No;_;G;Venda
395000;Can Parellada;150;3;3;2633;Si;Si;_;Si;No;No;_;G;Venda
265000;Cementiri Vell;100;4;2;2650;Si;Si;_;No;No;Si;_;G;Venda
219000;Sant Pere Nord;93;3;2;2355;No;No;1976;No;No;Si;_;G;Venda
209900;Sant Pere Nord;130;3;1;1615;Si;Si;1968;No;No;No;_;G;Venda
164900;La Maurina;109;3;1;1513;Si;No;1961;Si;No;No;_;G;Venda
135900;Sant Pere Nord;107;3;1;1270;No;No;1970;No;No;No;_;G;Venda
149000;Sant Pere Nord;60;2;1;2483;Si;No;_;No;No;Si;_;_;Venda
195000;Segle XX;89;3;2;2191;Si;Si;2002;Si;No;Si;_;G;Venda
255000;Escoles;109;4;2;2339;Si;Si;1992;No;No;Si;_;G;Venda
215000;Sant Pere Nord;200;8;3;1075;No;No;1971;No;No;No;_;E;Venda
208000;Poblenou-Zona Esportiva;112;3;2;1857;Si;No;1950;No;No;No;_;G;Venda
131500;Les Arenes-La Gr�pia;74;3;1;1777;No;No;1974;No;No;Si;_;G;Venda
270000;Centre;136;5;2;1985;Si;No;1900;No;No;No;_;G;Venda
345000;Centre;111;3;2;3108;Si;No;_;No;No;No;_;E;Venda
298000;Ca n�Aurell;127;3;3;2346;Si;Si;2003;No;No;Si;_;G;Venda
162750;Segle XX;84;3;1;1938;Si;No;1999;No;No;Si;_;E;Venda
140000;Pere parres;67;2;1;2090;Si;No;2005;No;No;Si;_;E;Venda
330000;Ca n�Aurell;150;4;1;2200;No;No;_;Si;No;No;_;G;Venda
165000;Ca n�Aurell;49;2;1;3367;Si;No;2021;Si;No;Si;_;_;Venda
149000;Poblenou-Zona Esportiva;95;1;1;1568;No;No;_;No;No;No;_;G;Venda
167900;Centre;79;3;1;2125;Si;No;1950;No;No;No;_;G;Venda
165000;Sant Pere Nord;89;3;2;1854;No;No;1994;No;No;Si;_;G;Venda
244000;Poblenou-Zona Esportiva;93;3;1;2624;Si;No;1965;No;No;No;_;E;Venda
389900;Les Arenes-La Gr�pia;191;2;2;2041;Si;Si;2017;Si;No;No;_;_;Venda
360000;Ca n�Aurell;152;4;2;2368;Si;Si;1995;No;No;Si;_;G;Venda
135000;La Maurina;74;3;1;1824;Si;Si;1968;No;No;No;_;G;Venda
290000;Centre;180;4;2;1611;Si;Si;_;No;No;No;_;G;Venda
238000;Ca n�Aurell;130;4;2;1831;Si;No;1995;No;No;Si;_;G;Venda
210000;Vallparad�s;105;4;2;2000;Si;Si;1984;No;No;Si;_;G;Venda
78000;Ca n�Anglada;71;3;1;1099;No;No;1968;No;No;Si;_;G;Venda
140000;Pere parres;50;2;1;2800;Si;No;2006;No;No;Si;_;G;Venda
469500;Sant Pere;335;4;3;1401;Si;Si;_;Si;No;No;_;G;Venda
90000;La Maurina;70;3;1;1286;No;No;1966;No;No;No;_;G;Venda
490000;Sant Pere;203;3;3;2414;Si;No;2017;No;Si;No;_;G;Venda
275000;Can Palet de Vista Alegre;136;3;2;2022;No;No;2007;No;No;No;_;E;Venda
123900;X�quer;80;4;1;1549;Si;Si;1974;No;No;Si;_;_;Venda
205000;Ca n�Aurell;66;3;2;3106;Si;Si;2007;No;No;Si;_;G;Venda
349000;Sant Pere;210;3;2;1662;No;No;_;Si;No;No;_;D;Venda
149000;Les Arenes-La Gr�pia;60;2;1;2483;No;Si;2006;Si;No;Si;_;E;Venda
469500;Sant Pere;176;4;3;2668;Si;Si;_;Si;No;No;_;G;Venda
165000;Sant Pere Nord;97;2;1;1701;No;No;1994;No;No;Si;_;E;Venda
182000;Vallparad�s;65;2;1;2800;Si;Si;_;Si;No;Si;_;A;Venda
258000;Ca nﾴAurell;105;3;2;2457;No;No;_;No;No;No;_;G;Venda
190000;Escoles;82;3;2;2317;Si;No;2004;Si;No;Si;_;E;Venda
265000;Vallparad�s;159;4;2;1667;Si;No;1988;Si;No;Si;_;G;Venda
166000;La Maurina;55;2;1;3018;Si;No;2002;No;No;No;_;E;Venda
189000;Torre-sana;84;3;1;2250;Si;Si;2006;No;No;No;_;G;Venda
130000;Sant Pere Nord;114;3;1;1140;Si;No;1930;No;No;No;_;G;Venda
142500;Escoles;80;3;1;1781;Si;No;_;No;No;Si;_;G;Venda
101000;Les Arenes-La Gr�pia;80;4;1;1263;No;No;1974;No;No;No;_;E;Venda
177000;Sant Pere;102;3;1;1735;Si;No;_;No;No;No;_;G;Venda
256000;Sant Pere;93;3;2;2753;Si;No;2022;No;No;Si;_;G;Venda
118000;Les Arenes-La Gr�pia;79;3;1;1494;No;Si;1974;No;No;No;_;_;Venda
190000;Les Arenes-La Gr�pia;85;2;2;2235;Si;No;2022;No;No;Si;_;B;Venda
330000;La Cogullada;158;3;2;2089;Si;No;2002;No;No;Si;_;G;Venda
279000;Cementiri Vell;121;3;2;2306;Si;No;_;No;No;Si;_;E;Venda
182000;Ca n�Aurell;83;3;1;2193;Si;No;_;No;No;No;_;G;Venda
212000;Ca n�Anglada;234;3;2;906;Si;No;_;Si;No;No;_;G;Venda
150000;Can Jofresa;82;3;1;1829;Si;No;1975;No;No;Si;_;G;Venda
585000;Ca n�Aurell;199;4;3;2940;Si;Si;_;No;No;Si;_;E;Venda
134900;Vallparad�s;85;3;1;1587;No;No;_;No;No;No;_;E;Venda
289000;La Maurina;150;3;2;1927;Si;Si;1930;No;No;No;_;D;Venda
335000;Ca n�Aurell;114;3;2;2939;Si;Si;1973;No;No;Si;_;G;Venda
367000;Centre;140;3;2;2621;Si;No;1923;No;No;No;_;E;Venda
329000;Ca n�Aurell;314;4;2;1048;Si;Si;_;Si;No;Si;_;G;Venda
188500;Poblenou-Zona Esportiva;92;3;2;2049;Si;Si;2002;No;No;Si;_;E;Venda
135500;Can Palet;60;2;2;2258;Si;No;2006;No;No;Si;_;E;Venda
299000;La Maurina;300;3;1;997;No;Si;_;Si;No;No;_;G;Venda
255000;Poblenou-Zona Esportiva;100;3;2;2550;Si;Si;2009;Si;No;Si;_;E;Venda
116500;Les Arenes-La Gr�pia;83;3;1;1404;Si;No;1977;No;No;No;_;E;Venda
199000;Ca n�Aurell;126;3;1;1579;Si;No;_;No;No;Si;_;G;Venda
188000;La Maurina;176;5;3;1068;Si;No;1980;No;No;No;_;G;Venda
108900;La Maurina;109;3;1;999;Si;No;_;No;No;No;_;E;Venda
131000;Ca nﾴAurell;_;_;_;_;No;No;1950;No;No;No;_;E;Venda
269900;Vallparad�s;135;3;2;1999;Si;Si;2005;Si;No;Si;_;E;Venda
145000;Can Palet;98;4;1;1480;No;No;_;No;No;No;_;E;Venda
145000;La Cogullada;93;3;1;1559;Si;Si;1979;No;No;Si;_;G;Venda
279000;Poblenou-Zona Esportiva;120;2;2;2325;No;Si;_;No;No;Si;_;G;Venda
205000;Poblenou-Zona Esportiva;98;3;2;2092;Si;Si;2002;No;No;Si;_;D;Venda
139900;Pl� del Bonaire;75;4;2;1865;Si;No;1987;No;No;No;_;G;Venda
113000;Can Roca;69;3;1;1638;No;Si;_;No;No;No;_;D;Venda
89990;Ca n�Anglada;74;3;1;1216;Si;Si;1977;No;No;No;_;G;Venda
186800;Vallparad�s;65;2;1;2874;No;No;_;Si;No;No;_;_;Venda
110000;La Maurina;62;2;1;1774;No;Si;1966;No;No;Si;_;E;Venda
294000;Poblenou-Zona Esportiva;105;2;2;2800;Si;Si;1999;Si;No;Si;_;E;Venda
157000;Sant Pere Nord;78;2;1;2013;No;No;2007;No;No;Si;_;G;Venda
188900;Can Jofresa;110;3;2;1717;Si;Si;1975;No;No;Si;_;E;Venda
239000;Pere parres;87;3;2;2747;Si;No;1973;No;No;Si;_;G;Venda
185000;Can Palet;153;2;1;1209;No;No;1979;No;No;No;_;E;Venda
190890;Can Palet;79;3;2;2416;Si;No;2005;Si;No;Si;_;G;Venda
146700;Cementiri Vell;75;2;1;1956;Si;No;1970;No;No;Si;_;G;Venda
149900;Poblenou-Zona Esportiva;95;2;1;1578;No;No;1970;No;No;No;_;G;Venda
149900;Poblenou-Zona Esportiva;95;2;1;1578;No;No;1970;No;No;No;_;G;Venda
175000;Ca n�Aurell;92;3;2;1902;Si;No;1975;No;No;Si;_;E;Venda
157000;La Cogullada;57;2;1;2754;Si;Si;2008;Si;No;Si;_;E;Venda
195000;Poblenou-Zona Esportiva;85;3;2;2294;Si;Si;2001;No;No;Si;_;G;Venda
159000;Egara;148;3;2;1074;No;No;1962;Si;No;No;_;G;Venda
194000;Can Roca;93;3;2;2086;Si;Si;2006;Si;No;Si;_;G;Venda
159990;Can Boada;93;4;1;1720;Si;Si;1979;No;No;Si;_;E;Venda
190000;Les Fonts;124;3;1;1532;No;No;1990;No;No;No;_;E;Venda
330000;Les Arenes-La Gr�pia;184;4;2;1793;Si;Si;1996;Si;No;No;_;E;Venda
245000;Sant Pere;99;4;1;2475;Si;Si;_;No;No;Si;_;E;Venda
235000;Poblenou-Zona Esportiva;93;3;2;2527;Si;Si;2023;No;No;Si;_;A;Venda
279000;Cementiri Vell;96;3;2;2906;Si;No;2001;Si;No;Si;_;D;Venda
157250;Ca n�Anglada;70;2;1;2246;No;Si;2001;No;No;Si;_;F;Venda
99900;Sant Pere Nord;65;3;1;1537;Si;No;1965;No;No;No;_;E;Venda
269000;Centre;123;3;2;2187;Si;No;1995;No;No;Si;_;G;Venda
269000;Centre;123;3;2;2187;Si;No;1995;No;No;Si;_;G;Venda
78000;Ca nﾴAnglada;63;4;1;1238;No;No;_;No;No;No;_;G;Venda
190000;Sant Pere;98;3;2;1939;Si;No;1976;No;No;No;_;E;Venda
330000;Poblenou-Zona Esportiva;121;4;3;2727;Si;Si;2023;No;No;Si;_;A;Venda
205000;Can Palet;136;3;2;1507;No;No;2003;Si;No;Si;_;G;Venda
245000;Ca n�Aurell;100;3;2;2450;Si;Si;2021;No;No;Si;_;A;Venda
156000;Les Arenes-La Gr�pia;60;2;1;2600;Si;Si;2002;No;No;Si;_;G;Venda
587500;Can Palet de Vista Alegre;500;4;5;1175;Si;No;1997;Si;No;No;_;E;Venda
112000;Can Boada;73;3;1;1534;Si;Si;1971;No;No;Si;_;E;Venda
58000;La Maurina;44;1;1;1318;No;No;_;No;No;No;_;F;Venda
290000;Centre;88;4;2;3295;Si;Si;2000;No;No;Si;_;G;Venda
144990;Ca n�Aurell;73;2;1;1986;Si;No;1979;No;No;Si;_;A;Venda
168000;Poblenou-Zona Esportiva;247;7;3;680;Si;No;1970;No;No;No;_;E;Venda
196000;Poblenou-Zona Esportiva;78;3;2;2513;Si;Si;2001;No;No;Si;_;G;Venda
119990;Ca n�Anglada;76;2;1;1579;Si;Si;1967;No;No;No;_;G;Venda
119900;Roc Blanc;75;3;1;1599;Si;No;_;No;No;No;_;G;Venda
219000;Segle XX;71;3;1;3085;Si;No;2002;No;No;Si;_;E;Venda
269750;Can Roca;94;3;2;2870;Si;Si;2005;Si;No;No;_;E;Venda
279000;Centre;92;4;2;3033;Si;No;1999;No;No;Si;_;G;Venda
195000;Can Palet;105;4;2;1857;Si;No;1994;No;No;Si;_;D;Venda
116000;Ca n�Aurell;97;2;2;1196;No;Si;1997;No;No;No;_;A;Venda
249900;Les Martines;140;2;1;1785;No;No;1992;Si;Si;No;_;G;Venda
87000;Ca n�Anglada;71;3;1;1225;Si;No;1969;No;No;No;_;E;Venda
279000;Centre;122;3;2;2287;Si;Si;1988;Si;No;Si;_;C;Venda
93000;Poblenou-Zona Esportiva;75;3;1;1240;Si;No;_;No;No;No;_;G;Venda
224900;Sant Pere;104;4;1;2163;Si;No;1977;No;No;Si;_;G;Venda
257000;Centre;142;5;2;1810;Si;No;1973;Si;No;Si;_;F;Venda
136000;Cementiri Vell;94;3;1;1447;Si;Si;1970;No;No;Si;_;E;Venda
300000;Ca n�Aurell;134;3;2;2239;Si;Si;1993;Si;No;No;_;E;Venda
297000;Centre;104;3;3;2856;Si;Si;2021;No;No;Si;_;A;Venda
195000;Can Palet;153;2;1;1275;No;No;_;No;No;No;_;E;Venda
330000;Ca n�Aurell;_;_;_;_;No;No;1909;Si;No;No;_;C;Venda
380000;Segle XX;248;4;2;1532;Si;Si;2021;Si;No;No;_;G;Venda
104000;Can Boada;80;3;1;1300;No;No;1976;No;No;Si;_;G;Venda
399000;Can Palet de Vista Alegre;213;3;2;1873;Si;No;2000;Si;Si;No;_;G;Venda
140000;Cementiri Vell;77;3;1;1818;Si;No;1973;No;No;Si;_;G;Venda
139000;La Cogullada;63;2;1;2206;Si;No;1993;No;No;Si;_;G;Venda
139000;Egara;104;3;2;1337;No;No;_;No;No;Si;_;G;Venda
99000;La Maurina;98;2;1;1010;Si;Si;1957;No;No;No;_;E;Venda
118000;La Maurina;84;3;1;1405;Si;No;1973;No;No;No;_;D;Venda
106000;Ca nﾴAnglada;96;3;1;1104;No;No;_;No;No;No;_;G;Venda
267000;Ca n�Aurell;74;3;2;3608;Si;Si;_;Si;No;Si;_;A;Venda
259000;Can Roca;94;3;2;2755;Si;Si;2005;Si;No;Si;3;E;Venda
900000;Centre;271;5;4;3321;Si;Si;2019;Si;No;No;3;A;Venda
315000;Pere parres;145;4;2;2172;Si;Si;2008;Si;No;Si;_;G;Venda
169000;Ca nﾴAurell;90;3;1;1878;No;No;_;No;No;No;_;G;Venda
190000;Poblenou-Zona Esportiva;107;3;1;1776;Si;No;1996;Si;No;Si;_;G;Venda
136000;La Maurina;110;3;1;1236;No;No;1977;No;No;Si;_;G;Venda
185000;Can Palet;153;2;1;1209;No;No;_;No;No;No;_;_;Venda
89999;Ca nﾴAnglada;75;3;1;1200;No;No;1965;No;No;No;_;F;Venda
205000;Segle XX;87;3;2;2356;Si;Si;2020;No;No;Si;_;A;Venda
159000;Can Roca;81;3;1;1963;No;No;_;No;No;Si;_;G;Venda
225000;Centre;110;4;2;2045;Si;No;1973;Si;No;Si;5;C;Venda
159900;Ca n�Aurell;66;2;1;2423;Si;No;_;No;No;Si;_;E;Venda
81000;Ca n�Anglada;68;2;1;1191;Si;Si;1968;No;No;Si;_;G;Venda
115000;Ca n�Anglada;72;3;1;1597;Si;No;1971;No;No;No;_;E;Venda
149900;Poblenou-Zona Esportiva;95;1;1;1578;No;No;1970;No;No;No;_;G;Venda
185000;Can Palet;172;2;1;1076;No;No;_;No;No;No;_;G;Venda
470000;Pere parres;330;5;2;1424;Si;Si;1954;Si;Si;No;_;E;Venda
249900;Les Arenes-La Gr�pia;146;3;2;1712;Si;No;_;No;No;Si;_;E;Venda
189900;La Cogullada;94;3;2;2020;Si;Si;_;No;No;Si;_;E;Venda
169000;Can Palet;87;3;2;1943;Si;Si;2001;Si;No;Si;_;G;Venda
229000;Les Arenes-La Gr�pia;106;3;2;2160;Si;Si;2017;Si;No;Si;_;B;Venda
189900;Segle XX;73;2;1;2601;Si;No;2003;No;No;Si;_;D;Venda
176000;Sant Pere Nord;92;3;2;1913;Si;No;2022;Si;No;Si;3;G;Venda
119500;Sant Pere Nord;82;3;1;1457;Si;No;1970;No;No;Si;2;E;Venda
325000;Roc Blanc;170;4;1;1912;Si;Si;2022;Si;No;No;_;G;Venda
149000;Sant Pere;90;3;1;1656;Si;Si;1975;No;No;Si;1;D;Venda
219000;Centre;90;3;1;2433;Si;No;_;No;No;No;1;D;Venda
299000;Vallparad�s;133;3;2;2248;No;No;_;Si;No;Si;1;G;Venda
145000;Can Parellada;93;4;1;1559;No;No;1976;No;No;Si;_;G;Venda
