Preu,Zona,Superficie,Habitacions,Lavabos,Preu metre,Calefaccio,Aire acondicionat,Any construccio,Aparcament,Piscina,Ascensor,Planta,Consum,Venda/lloguer,Preu anunci,Preu pred,Status
225000,Centre,110.0,4.0,2.0,2045.0,1,0,1973.0,1,No,1,5.0,C,Venda,225000,227462,xollo
176000,Sant Pere Nord,92.0,3.0,2.0,1913.0,1,0,2022.0,1,No,1,3.0,G,Venda,176000,262636,xollo
119500,Sant Pere Nord,82.0,3.0,1.0,1457.0,1,0,1970.0,0,No,1,2.0,E,Venda,119500,154078,xollo
149000,Sant Pere,90.0,3.0,1.0,1656.0,1,1,1975.0,0,No,1,1.0,D,Venda,149000,154078,xollo
249000,Ca n�Aurell,164.0,5.0,2.0,1518.0,1,0,1942.0,0,No,0,1.0,D,Venda,249000,270525,xollo
133000,Can Jofresa,79.0,2.0,1.0,1684.0,1,1,2006.0,0,No,1,3.0,G,Venda,133000,154078,xollo
180000,Les Arenes-La Gr�pia,109.0,3.0,2.0,1651.0,1,1,1997.0,1,No,1,1.0,G,Venda,180000,227462,xollo
137000,Can Boada,95.0,3.0,1.0,1442.0,1,0,1973.0,0,No,0,1.0,G,Venda,137000,154078,xollo
127500,Ca n�Anglada,49.0,2.0,1.0,2602.0,1,0,2007.0,0,No,1,1.0,G,Venda,127500,131812,xollo
192000,Sant Pere Nord,116.0,3.0,2.0,1655.0,1,1,1971.0,0,No,0,2.0,G,Venda,192000,270525,xollo
126000,Can Palet,84.0,3.0,1.0,1500.0,1,0,1975.0,0,No,1,1.0,G,Venda,126000,154078,xollo
85000,La Maurina,101.0,4.0,1.0,842.0,0,0,1965.0,0,No,0,2.0,G,Venda,85000,136656,xollo
95000,Can Palet,76.0,3.0,1.0,1250.0,1,0,1971.0,0,No,0,2.0,E,Venda,95000,103259,xollo
118500,La Maurina,100.0,3.0,1.0,1185.0,0,0,1973.0,0,No,0,3.0,G,Venda,118500,136656,xollo
125000,Can Palet,108.0,3.0,1.0,1157.0,1,1,1963.0,0,No,0,2.0,G,Venda,125000,154078,xollo
69000,Montserrat,58.0,2.0,1.0,1190.0,0,0,1959.0,0,No,0,1.0,G,Venda,69000,103259,xollo
255000,Escoles,144.0,4.0,2.0,1771.0,1,1,1992.0,1,No,1,1.0,G,Venda,255000,270525,xollo
137500,Torre-sana,69.0,1.0,2.0,1993.0,1,1,2003.0,0,No,1,2.0,G,Venda,137500,192063,xollo
295000,Poblenou-Zona Esportiva,160.0,3.0,2.0,1844.0,1,1,2022.0,0,No,0,2.0,G,Venda,295000,370425,xollo
265000,Les Arenes-La Gr�pia,148.0,3.0,2.0,1791.0,1,1,1991.0,0,No,1,3.0,G,Venda,265000,270525,xollo
260000,Torre-sana,156.0,3.0,2.0,1667.0,1,1,1968.0,1,No,0,1.0,G,Venda,260000,270525,xollo
155000,Ca n�Aurell,80.0,2.0,2.0,1938.0,1,1,1972.0,0,No,1,2.0,D,Venda,155000,166660,xollo
219000,Centre,73.0,2.0,2.0,3000.0,1,1,2005.0,1,No,1,4.0,E,Venda,219000,227462,xollo
236900,Can Boada,150.0,3.0,2.0,1579.0,1,0,1960.0,0,No,0,3.0,D,Venda,236900,270525,xollo
